CBSA,ZIP,Locale,State,CBSA Title
27260,32258,Jacksonville,FL,"Jacksonville, FL"
16980,60586,Plainfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
49340,06256,North Windham,CT,"Worcester, MA-CT"
33460,55120,Saint Paul,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
29820,89074,Henderson,NV,"Las Vegas-Henderson-Paradise, NV"
37980,19401,East Norriton,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
NULL,15535,Clearville,PA,NULL
49340,01526,Manchaug,MA,"Worcester, MA-CT"
49660,44438,Masury,OH,"Youngstown-Warren-Boardman, OH-PA"
NULL,15537,Everett,PA,NULL
40900,95765,Rocklin,CA,"Sacramento-Roseville-Folsom, CA"
43620,57110,Sioux Falls,SD,"Sioux Falls, SD"
25460,72601,Harrison,AR,"Harrison, AR"
41180,63088,Valley Park,MO,"St. Louis, MO-IL"
30460,40544,Lexington,KY,"Lexington-Fayette, KY"
17140,45240,Cincinnati,OH,"Cincinnati, OH-KY-IN"
26420,77244,Houston,TX,"Houston-The Woodlands-Sugar Land, TX"
24340,49426,Hudsonville,MI,"Grand Rapids-Kentwood, MI"
37100,93033,Oxnard,CA,"Oxnard-Thousand Oaks-Ventura, CA"
22520,35662,Muscle Shoals,AL,"Florence-Muscle Shoals, AL"
42660,98014,Carnation,WA,"Seattle-Tacoma-Bellevue, WA"
24300,81506,Grand Junction,CO,"Grand Junction, CO"
39580,27527,Clayton,NC,"Raleigh-Cary, NC"
15940,44641,Louisville,OH,"Canton-Massillon, OH"
19300,36526,Daphne,AL,"Daphne-Fairhope-Foley, AL"
25940,29925,Hilton Head Island,SC,"Hilton Head Island-Bluffton, SC"
47260,23513,Norfolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
10420,44241,Streetsboro,OH,"Akron, OH"
14140,24739,Princeton,WV,"Bluefield, WV-VA"
12940,70806,Baton Rouge,LA,"Baton Rouge, LA"
42660,98406,Tacoma,WA,"Seattle-Tacoma-Bellevue, WA"
38300,15210,Pittsburgh,PA,"Pittsburgh, PA"
34980,37030,Carthage,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
27500,53534,Edgerton,WI,"Janesville-Beloit, WI"
46660,31629,Dixie,GA,"Valdosta, GA"
30260,17886,West Milton,PA,"Lewisburg, PA"
35620,07711,Allenhurst,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
31700,03101,Manchester,NH,"Manchester-Nashua, NH"
37980,19034,Ft Washington,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
16980,60124,Elgin,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
13220,25865,Lester,WV,"Beckley, WV"
44980,17017,Dalmatia,PA,"Sunbury, PA"
35380,70087,Saint Rose,LA,"New Orleans-Metairie, LA"
24660,27235,Colfax,NC,"Greensboro-High Point, NC"
NULL,18436,Lake Ariel,PA,NULL
NULL,63468,Shelbina,MO,NULL
48060,13675,Plessis,NY,"Watertown-Fort Drum, NY"
35620,11411,Cambria Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA"
39380,81069,Rye,CO,"Pueblo, CO"
35620,11422,Rosedale,NY,"New York-Newark-Jersey City, NY-NJ-PA"
48620,67068,Kingman,KS,"Wichita, KS"
49020,22654,Star Tannery,VA,"Winchester, VA-WV"
NULL,01370,Shelburne Falls,MA,NULL
35620,07719,Lake Como,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
45300,33703,St Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
39300,02889,Warwick,RI,"Providence-Warwick, RI-MA"
42540,18644,West Wyoming,PA,"Scranton--Wilkes-Barre, PA"
35620,07676,Township of Washingt,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12940,70762,Oscar,LA,"Baton Rouge, LA"
27340,28539,Hubert,NC,"Jacksonville, NC"
31080,90023,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA"
12060,30350,Sandy Springs,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
48060,13679,Redwood,NY,"Watertown-Fort Drum, NY"
35620,12508,Beacon,NY,"New York-Newark-Jersey City, NY-NJ-PA"
38300,16033,Evans City,PA,"Pittsburgh, PA"
45300,33592,Thonotosassa,FL,"Tampa-St. Petersburg-Clearwater, FL"
NULL,67124,Pratt,KS,NULL
19820,48184,Wayne,MI,"Detroit-Warren-Dearborn, MI"
NULL,04662,Northeast Harbor,ME,NULL
25540,06045,Manchester,CT,"Hartford-East Hartford-Middletown, CT"
37420,79065,Pampa,TX,"Pampa, TX"
16700,29423,Charleston,SC,"Charleston-North Charleston, SC"
NULL,23316,Cheriton,VA,NULL
42660,98271,Marysville,WA,"Seattle-Tacoma-Bellevue, WA"
35620,10016,Manhattan,NY,"New York-Newark-Jersey City, NY-NJ-PA"
14460,03823,Madbury,NH,"Boston-Cambridge-Newton, MA-NH"
49180,27105,Winston Salem,NC,"Winston-Salem, NC"
NULL,76470,Ranger,TX,NULL
31080,90704,Avalon,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,11413,Laurelton,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,24472,Raphine,VA,NULL
36780,54902,Oshkosh,WI,"Oshkosh-Neenah, WI"
14460,02125,Uphams Corner,MA,"Boston-Cambridge-Newton, MA-NH"
25900,96727,Honokaa,HI,"Hilo, HI"
27340,28460,Sneads Ferry,NC,"Jacksonville, NC"
44140,01030,Feeding Hills,MA,"Springfield, MA"
35620,07647,Rockleigh,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,23970,South Hill,VA,NULL
35620,11722,Central Islip,NY,"New York-Newark-Jersey City, NY-NJ-PA"
45300,33704,St Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
38300,15282,Pittsburgh,PA,"Pittsburgh, PA"
17140,45246,Glendale,OH,"Cincinnati, OH-KY-IN"
38300,15062,Monessen,PA,"Pittsburgh, PA"
36660,70570,Opelousas,LA,"Opelousas, LA"
36460,14772,Randolph,NY,"Olean, NY"
26420,77072,Houston,TX,"Houston-The Woodlands-Sugar Land, TX"
14460,03036,Chester,NH,"Boston-Cambridge-Newton, MA-NH"
18500,14821,Campbell,NY,"Corning, NY"
46060,85756,Tucson,AZ,"Tucson, AZ"
NULL,78355,Falfurrias,TX,NULL
39300,02748,Dartmouth,MA,"Providence-Warwick, RI-MA"
NULL,81049,Kim,CO,NULL
16700,29461,Moncks Corner,SC,"Charleston-North Charleston, SC"
39340,84606,Provo,UT,"Provo-Orem, UT"
12860,14020,Batavia,NY,"Batavia, NY"
16980,60204,Evanston,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
31080,90713,Lakewood,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,08557,Sergeantsville,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
35620,11949,Manorville,NY,"New York-Newark-Jersey City, NY-NJ-PA"
45940,08619,Mercerville,NJ,"Trenton-Princeton, NJ"
45780,43571,Whitehouse,OH,"Toledo, OH"
41940,94042,Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA"
NULL,09459,APO,AE,NULL
38860,04006,Biddeford Pool,ME,"Portland-South Portland, ME"
41740,92169,San Diego,CA,"San Diego-Chula Vista-Carlsbad, CA"
NULL,04429,Holden,ME,NULL
NULL,52641,Mount Pleasant,IA,NULL
18140,43230,Columbus,OH,"Columbus, OH"
NULL,52591,Sigourney,IA,NULL
24340,49464,Zeeland,MI,"Grand Rapids-Kentwood, MI"
27600,30558,Maysville,GA,"Jefferson, GA"
47260,23690,Yorktown,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
12060,30313,Atlanta,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
45780,43522,Grand Rapids,OH,"Toledo, OH"
31080,90293,Playa del Rey,CA,"Los Angeles-Long Beach-Anaheim, CA"
17140,45213,Cincinnati,OH,"Cincinnati, OH-KY-IN"
18500,14807,Arkport,NY,"Corning, NY"
31700,03458,Sharon,NH,"Manchester-Nashua, NH"
12260,30426,Girard,GA,"Augusta-Richmond County, GA-SC"
41700,78133,Canyon Lake,TX,"San Antonio-New Braunfels, TX"
33460,55047,Marine On St Croix,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
45300,33704,St. Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
47900,22736,Richardsville,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
41860,94555,"Fremont ",CA,"San Francisco-Oakland-Berkeley, CA"
38900,97003,Beaverton,OR,"Portland-Vancouver-Hillsboro, OR-WA"
35380,70121,Jefferson,LA,"New Orleans-Metairie, LA"
35620,07737,Leonardo,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
29200,47941,Dayton,IN,"Lafayette-West Lafayette, IN"
41620,84115,South Salt Lake,UT,"Salt Lake City, UT"
NULL,22723,Hood,VA,NULL
47900,20745,National Harbor,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
15540,05478,St Albans,VT,"Burlington-South Burlington, VT"
33100,33063,Coconut Creek,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
45140,74465,Tahlequah,OK,"Tahlequah, OK"
42220,95465,Occidental,CA,"Santa Rosa-Petaluma, CA"
35620,10567,Cortlandt,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,83226,Challis,ID,NULL
43900,29333,Drayton,SC,"Spartanburg, SC"
41060,56374,Saint Joseph,MN,"St. Cloud, MN"
35620,07078,short hills,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12060,30096,Berkeley Lake,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
46660,31643,Quitman,GA,"Valdosta, GA"
25420,17043,Wormleysburg,PA,"Harrisburg-Carlisle, PA"
33100,33461,Palm Springs,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
NULL,09706,APO,AE,NULL
31080,92616,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA"
42220,94975,Petaluma,CA,"Santa Rosa-Petaluma, CA"
13820,35243,Vestavia,AL,"Birmingham-Hoover, AL"
47900,20007,"Washington ",DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
33980,28570,"Newport ",NC,"Morehead City, NC"
31080,90274,Pls Vrds Est,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,07026,Garfield,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
49660,16127,Grove City,PA,"Youngstown-Warren-Boardman, OH-PA"
31080,91364,Woodland Hls,CA,"Los Angeles-Long Beach-Anaheim, CA"
33100,33179,N Miami Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
37340,32936,Melbourne,FL,"Palm Bay-Melbourne-Titusville, FL"
30340,04256,Mechanic Falls,ME,"Lewiston-Auburn, ME"
21780,47610,Chandler,IN,"Evansville, IN-KY"
25060,39525,Diamondhead,MS,"Gulfport-Biloxi, MS"
14460,02370,Rockland,MA,"Boston-Cambridge-Newton, MA-NH"
NULL,24224,Castlewood,VA,NULL
16860,30725,Flintstone,GA,"Chattanooga, TN-GA"
27780,15714,Northern Cambria,PA,"Johnstown, PA"
12580,21215,BALTIMORE,MD,"Baltimore-Columbia-Towson, MD"
NULL,40831,HARLAN,KY,NULL
10900,18062,MacUngie,PA,"Allentown-Bethlehem-Easton, PA-NJ"
44300,16856,Mingoville,PA,"State College, PA"
20100,19904,DOVER,DE,"Dover, DE"
32380,50428,Clear Lake,IA,"Mason City, IA"
19820,48135,Garden City,MI,"Detroit-Warren-Dearborn, MI"
42660,98498,Tacoma,WA,"Seattle-Tacoma-Bellevue, WA"
33100,33013,Hialeah,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
NULL,05301,West Brattleboro,VT,NULL
28660,76549,Killeen,TX,"Killeen-Temple, TX"
19060,21766,Little Orleans,MD,"Cumberland, MD-WV"
46140,74132,Tulsa,OK,"Tulsa, OK"
35620,07019,East Orange,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
36580,13320,Cherry Valley,NY,"Oneonta, NY"
31080,91734,El Monte,CA,"Los Angeles-Long Beach-Anaheim, CA"
40060,23834,South Chesterfield,VA,"Richmond, VA"
NULL,97741,Madras,OR,NULL
NULL,05464,Jeffersonville,VT,NULL
NULL,96915,Inarajan,GU,NULL
NULL,85220,Apache Junction,AZ,NULL
NULL,96364,Apo,AP,NULL
40140,92513,Riverside,CA,"Riverside-San Bernardino-Ontario, CA"
34260,72653,Mountain Home,AR,"Mountain Home, AR"
13180,53098,Watertown,WI,"Beaver Dam, WI"
17020,95966,Oroville,CA,"Chico, CA"
NULL,92384,Shoshone,CA,NULL
35620,10256,Deutsche Bank,NY,"New York-Newark-Jersey City, NY-NJ-PA"
31460,93638,Madera,CA,"Madera, CA"
30700,68504,Lincoln,NE,"Lincoln, NE"
NULL,48653,Roscommon,MI,NULL
24340,49429,Jenison,MI,"Grand Rapids-Kentwood, MI"
16300,52249,Keystone,IA,"Cedar Rapids, IA"
12060,30362,Atlanta,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
NULL,53924,Cazenovia,WI,NULL
35620,10014,Manhattan,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,01580,Westborough,MA,NULL
23060,46808,Fort Wayne,IN,"Fort Wayne, IN"
NULL,68333,Crete,NE,NULL
13820,35242,Vestavia,AL,"Birmingham-Hoover, AL"
38460,12919,Champlain,NY,"Plattsburgh, NY"
33100,33189,Miami,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
17460,44143,Richmond Hts,OH,"Cleveland-Elyria, OH"
37980,19404,Norristown,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
27260,32035,Fernandina Beach,FL,"Jacksonville, FL"
12420,78711,Austin,TX,"Austin-Round Rock-Georgetown, TX"
28140,66214,Overland,KS,"Kansas City, MO-KS"
37900,61742,Goodfield,IL,"Peoria, IL"
38060,85132,Florence,AZ,"Phoenix-Mesa-Chandler, AZ"
NULL,49713,Boyne Falls,MI,NULL
19300,36564,Point Clear,AL,"Daphne-Fairhope-Foley, AL"
31930,45773,Reno,OH,"Marietta, OH"
NULL,15349,Mount Morris,PA,NULL
15620,49601,Cadillac,MI,"Cadillac, MI"
37120,36360,Ozark,AL,"Ozark, AL"
12260,29816,Bath,SC,"Augusta-Richmond County, GA-SC"
38900,97224,Durham,OR,"Portland-Vancouver-Hillsboro, OR-WA"
NULL,13332,Earlville,NY,NULL
26140,34446,Homosassa,FL,"Homosassa Springs, FL"
44140,01089,W Springfield,MA,"Springfield, MA"
29460,33815,Lakeland,FL,"Lakeland-Winter Haven, FL"
30940,40997,Walker,KY,"London, KY"
40060,23834,Colonial Hgts,VA,"Richmond, VA"
16540,17262,Spring Run,PA,"Chambersburg-Waynesboro, PA"
49700,95692,Wheatland,CA,"Yuba City, CA"
26420,77266,Houston,TX,"Houston-The Woodlands-Sugar Land, TX"
37340,32908,Palm Bay,FL,"Palm Bay-Melbourne-Titusville, FL"
18580,78411,Crp Christi,TX,"Corpus Christi, TX"
33100,33325,Sunrise,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
25060,39563,Moss Point,MS,"Gulfport-Biloxi, MS"
48620,67217,Wichita,KS,"Wichita, KS"
21380,66801,Emporia,KS,"Emporia, KS"
19740,80232,Denver,CO,"Denver-Aurora-Lakewood, CO"
NULL,05359,West Townshend,VT,NULL
NULL,48629,Houghton Lake,MI,NULL
19820,48051,Chesterfield,MI,"Detroit-Warren-Dearborn, MI"
29620,48918,Lansing,MI,"Lansing-East Lansing, MI"
19740,80030,Westminster,CO,"Denver-Aurora-Lakewood, CO"
13220,25906,Piney View,WV,"Beckley, WV"
39300,02725,Somerset,MA,"Providence-Warwick, RI-MA"
29660,82083,Rock River,WY,"Laramie, WY"
35620,07462,Vernon,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
35620,10045,Federal Reserve,NY,"New York-Newark-Jersey City, NY-NJ-PA"
33740,71203,Monroe,LA,"Monroe, LA"
41760,83856,Priest River,ID,"Sandpoint, ID"
36700,29118,Orangeburg,SC,"Orangeburg, SC"
25420,17089,Camp Hill,PA,"Harrisburg-Carlisle, PA"
13780,13748,Conklin,NY,"Binghamton, NY"
47820,27865,Pinetown,NC,"Washington, NC"
10380,00676,Moca,PR,"Aguadilla-Isabela, PR"
42540,18512,Scranton,PA,"Scranton--Wilkes-Barre, PA"
NULL,04637,Grand Lk Strm,ME,NULL
31540,53532,Deforest,WI,"Madison, WI"
31540,53520,Brodhead,WI,"Madison, WI"
33460,55020,Elko,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
NULL,50441,Hampton,IA,NULL
12060,30343,Atlanta,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
18180,03278,Warner,NH,"Concord, NH"
14010,61726,Chenoa,IL,"Bloomington, IL"
NULL,26581,Wileyville,WV,NULL
36420,73023,Chickasha,OK,"Oklahoma City, OK"
33460,55319,Clear Lake,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
NULL,38488,Taft,TN,NULL
16860,37407,Chattanooga,TN,"Chattanooga, TN-GA"
47260,23452,VA Bch,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
20700,18327,Delaware Water Gap,PA,"East Stroudsburg, PA"
19740,80014,Denver,CO,"Denver-Aurora-Lakewood, CO"
19300,36555,Magnolia Springs,AL,"Daphne-Fairhope-Foley, AL"
43780,49095,Vandalia,MI,"South Bend-Mishawaka, IN-MI"
NULL,23023,Bruington,VA,NULL
NULL,09112,APO,AE,NULL
19820,48317,Utica,MI,"Detroit-Warren-Dearborn, MI"
44060,99210,Spokane,WA,"Spokane-Spokane Valley, WA"
37340,32911,Palm Bay,FL,"Palm Bay-Melbourne-Titusville, FL"
12580,21231,"Baltimore, Md",MD,"Baltimore-Columbia-Towson, MD"
NULL,81321,Cortez,CO,NULL
46520,96806,Honolulu,HI,"Urban Honolulu, HI"
47900,22405,Fredericksbrg,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
16580,61873,Saint Joseph,IL,"Champaign-Urbana, IL"
41980,00952,Sabana Seca,PR,"San Juan-Bayam�n-Caguas, PR"
19740,80113,Cherry Hills Village,CO,"Denver-Aurora-Lakewood, CO"
43980,51301,Spencer,IA,"Spencer, IA"
40140,92399,Oak Glen,CA,"Riverside-San Bernardino-Ontario, CA"
38300,15104,Braddock,PA,"Pittsburgh, PA"
31080,91380,Santa Clarita,CA,"Los Angeles-Long Beach-Anaheim, CA"
34980,37150,Red Boiling Springs,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
41860,94105,SanFrancisco,CA,"San Francisco-Oakland-Berkeley, CA"
12060,30084,TUCKER,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
NULL,23917,Boydton,VA,NULL
16060,62966,Murphysboro,IL,"Carbondale-Marion, IL"
35620,11379,Middle Vlg,NY,"New York-Newark-Jersey City, NY-NJ-PA"
32580,78574,Mission,TX,"McAllen-Edinburg-Mission, TX"
44060,99156,Newport,WA,"Spokane-Spokane Valley, WA"
35620,11432,Jamacia,NY,"New York-Newark-Jersey City, NY-NJ-PA"
12580,21237,"Rosedale ",MD,"Baltimore-Columbia-Towson, MD"
13340,43331,Lakeview,OH,"Bellefontaine, OH"
NULL,78954,Round Top,TX,NULL
41180,63143,Maplewood,MO,"St. Louis, MO-IL"
29540,17520,"East Petersburg ",PA,"Lancaster, PA"
15380,14108,Newfane,NY,"Buffalo-Cheektowaga, NY"
14660,56435,Backus,MN,"Brainerd, MN"
24980,38901,Grenada,MS,"Grenada, MS"
27260,32092,St. Augustine,FL,"Jacksonville, FL"
12580,21218,Blatimore,MD,"Baltimore-Columbia-Towson, MD"
33460,55103,Saint Paul,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
41980,00913,Isla Verde,PR,"San Juan-Bayam�n-Caguas, PR"
25220,70444,Kentwood,LA,"Hammond, LA"
NULL,09201,APO,AE,NULL
NULL,28390,Olde Farm,NC,NULL
NULL,36075,Shorter,AL,NULL
33300,31087,Sparta,GA,"Milledgeville, GA"
NULL,04442,Greenville Junction,ME,NULL
33100,33425,Boynton Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
28140,66013,Bucyrus,KS,"Kansas City, MO-KS"
17460,44125,Garfield,OH,"Cleveland-Elyria, OH"
48060,13606,Adams Center,NY,"Watertown-Fort Drum, NY"
31080,91121,Pasadena,CA,"Los Angeles-Long Beach-Anaheim, CA"
44100,62708,Springfield,IL,"Springfield, IL"
20180,16620,Brisbin,PA,"DuBois, PA"
14020,47460,Spencer,IN,"Bloomington, IN"
NULL,18415,Damascus,PA,NULL
39300,02912,Brown Station,RI,"Providence-Warwick, RI-MA"
26420,77302,Conroe,TX,"Houston-The Woodlands-Sugar Land, TX"
45940,08648,Lawrence,NJ,"Trenton-Princeton, NJ"
43740,15531,Boswell,PA,"Somerset, PA"
35580,56085,Sleepy Eye,MN,"New Ulm, MN"
13820,35123,Palmerdale,AL,"Birmingham-Hoover, AL"
16980,60179,Hoffman Estates,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
19820,48232,Detroit,MI,"Detroit-Warren-Dearborn, MI"
12220,36803,Opelika,AL,"Auburn-Opelika, AL"
47220,08352,Rosenhayn,NJ,"Vineland-Bridgeton, NJ"
14010,61748,Hudson,IL,"Bloomington, IL"
NULL,53530,Darlington,WI,NULL
38060,85119,Apache Jct,AZ,"Phoenix-Mesa-Chandler, AZ"
NULL,04041,Hiram,ME,NULL
NULL,71375,Waterproof,LA,NULL
38940,34948,Fort Pierce,FL,"Port St. Lucie, FL"
NULL,54557,Presque Isle,WI,NULL
49340,06377,Sterling,CT,"Worcester, MA-CT"
31080,93599,Palmdale,CA,"Los Angeles-Long Beach-Anaheim, CA"
NULL,75661,Karnack,TX,NULL
49780,43762,New Concord,OH,"Zanesville, OH"
NULL,52057,Manchester,IA,NULL
38900,97242,Portland,OR,"Portland-Vancouver-Hillsboro, OR-WA"
38860,04098,Westbrook,ME,"Portland-South Portland, ME"
35840,34270,Tallevast,FL,"North Port-Sarasota-Bradenton, FL"
28740,12481,Shokan,NY,"Kingston, NY"
45300,33637,Temple Terrace,FL,"Tampa-St. Petersburg-Clearwater, FL"
37980,19810,Edgemoor,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
14460,02341,Hanson,MA,"Boston-Cambridge-Newton, MA-NH"
28940,37853,Rockford,TN,"Knoxville, TN"
NULL,58067,Rutland,ND,NULL
39300,02748,S Dartmouth,MA,"Providence-Warwick, RI-MA"
46540,13357,Cedarville,NY,"Utica-Rome, NY"
NULL,79096,Wheeler,TX,NULL
19820,48382,Commerce,MI,"Detroit-Warren-Dearborn, MI"
26420,77485,Wallis,TX,"Houston-The Woodlands-Sugar Land, TX"
23420,93650,Pinedale,CA,"Fresno, CA"
31080,92652,Laguna Beach,CA,"Los Angeles-Long Beach-Anaheim, CA"
29420,86442,Bullhead City,AZ,"Lake Havasu City-Kingman, AZ"
41620,84116,Slc,UT,"Salt Lake City, UT"
14460,03839,Rochester,NH,"Boston-Cambridge-Newton, MA-NH"
24860,29688,Tigerville,SC,"Greenville-Anderson, SC"
40060,23038,Columbia,VA,"Richmond, VA"
NULL,65773,Wasola,MO,NULL
35620,10010,Madison Square,NY,"New York-Newark-Jersey City, NY-NJ-PA"
38300,15470,Ohiopyle,PA,"Pittsburgh, PA"
35620,11710,N Bellmore,NY,"New York-Newark-Jersey City, NY-NJ-PA"
13980,24347,Hiwassee,VA,"Blacksburg-Christiansburg, VA"
18140,43086,Westerville,OH,"Columbus, OH"
44780,49042,Constantine,MI,"Sturgis, MI"
41060,55353,Kimball,MN,"St. Cloud, MN"
33860,36177,Montgomery,AL,"Montgomery, AL"
31080,90201,Cudahy,CA,"Los Angeles-Long Beach-Anaheim, CA"
46380,95459,Manchester,CA,"Ukiah, CA"
19820,48080,St Clair Shores,MI,"Detroit-Warren-Dearborn, MI"
39300,02879,S Kingstown,RI,"Providence-Warwick, RI-MA"
38300,15347,Meadow Lands,PA,"Pittsburgh, PA"
20180,16671,Ramey,PA,"DuBois, PA"
39300,02356,N Easton,MA,"Providence-Warwick, RI-MA"
23380,43431,Gibsonburg,OH,"Fremont, OH"
NULL,83615,Donnelly,ID,NULL
41100,84790,St. George,UT,"St. George, UT"
46020,95975,Rough and Ready,CA,"Truckee-Grass Valley, CA"
35620,07604,Hasbrouck Hts,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
26780,55395,Winsted,MN,"Hutchinson, MN"
37980,08518,Florence Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
27620,65109,Jefferson Cty,MO,"Jefferson City, MO"
39300,02863,Central Falls,RI,"Providence-Warwick, RI-MA"
17460,44106,Cleveland Hts,OH,"Cleveland-Elyria, OH"
NULL,59923,Libby,MT,NULL
35020,39120,"Natchez ",MS,"Natchez, MS-LA"
41940,94022,Los Altos Hls,CA,"San Jose-Sunnyvale-Santa Clara, CA"
NULL,05746,Gaysville,VT,NULL
12580,21286,TOWSON,MD,"Baltimore-Columbia-Towson, MD"
15180,78559,La Feria,TX,"Brownsville-Harlingen, TX"
12660,53965,Wisconsin Dells,WI,"Baraboo, WI"
35620,11972,Speonk,NY,"New York-Newark-Jersey City, NY-NJ-PA"
36420,73146,Oklahoma City,OK,"Oklahoma City, OK"
44860,75482,Sulphur Springs,TX,"Sulphur Springs, TX"
29180,70516,Branch,LA,"Lafayette, LA"
31140,40220,LOUISVILLE,KY,"Louisville/Jefferson County, KY-IN"
24580,54229,New Franken,WI,"Green Bay, WI"
NULL,75245,Dallas,TX,NULL
17340,95426,Cobb,CA,"Clearlake, CA"
16980,60525,La Grange Highlands,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
44100,62563,Rochester,IL,"Springfield, IL"
35980,06350,Hanover,CT,"Norwich-New London, CT"
29020,46904,Kokomo,IN,"Kokomo, IN"
42660,98329,Gig Harbor,WA,"Seattle-Tacoma-Bellevue, WA"
21340,79908,Biggs Field,TX,"El Paso, TX"
40080,40456,Mount Vernon,KY,"Richmond-Berea, KY"
35620,10028,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,89301,Ely,NV,NULL
28660,76547,Killeen,TX,"Killeen-Temple, TX"
26620,35809,Redstone Arsenal,AL,"Huntsville, AL"
38300,15076,Russellton,PA,"Pittsburgh, PA"
45300,33694,Tampa,FL,"Tampa-St. Petersburg-Clearwater, FL"
35620,11776,Terryville,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,45318,Covington,OH,NULL
31140,40257,Louisville,KY,"Louisville/Jefferson County, KY-IN"
35620,07470,Lionshead Lake,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
16980,60135,Genoa,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
NULL,32428,Chipley,FL,NULL
43340,71133,Shreveport,LA,"Shreveport-Bossier City, LA"
30140,17077,Ono,PA,"Lebanon, PA"
19780,50265,W Des Moines,IA,"Des Moines-West Des Moines, IA"
39940,83429,Island Park,ID,"Rexburg, ID"
40140,92235,Cathedral City,CA,"Riverside-San Bernardino-Ontario, CA"
29540,17584,Baumgardner,PA,"Lancaster, PA"
15380,14225,Cheektowaga,NY,"Buffalo-Cheektowaga, NY"
19780,50306,Des Moines,IA,"Des Moines-West Des Moines, IA"
14460,02187,Milton Village,MA,"Boston-Cambridge-Newton, MA-NH"
14620,16731,Eldred,PA,"Bradford, PA"
16980,60402,Stickney,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
17140,41004,Brooksville,KY,"Cincinnati, OH-KY-IN"
35620,11416,Jamaica,NY,"New York-Newark-Jersey City, NY-NJ-PA"
12540,93263,Shafter,CA,"Bakersfield, CA"
